Rank,PoS
2406,noun
2407,adj
2408,noun
2409,noun
2410,noun
2411,verb
2412,noun
2413,noun
2414,verb
2415,adj
2416,adv
2417,adj
2418,adj
2419,adj
2420,noun
2421,noun
2422,adj
2423,noun
2424,adj
2425,noun
2426,adj
2427,noun
2428,noun
2429,noun
2430,adj
2431,adv
2432,verb
2433,noun
2434,verb
2435,noun
2436,noun
2437,adj
2438,noun
2439,verb
2440,noun
2441,noun
2442,noun
2443,noun
2444,noun
2445,verb
2446,noun
2447,verb
2448,adv
2449,noun
2450,noun
2451,verb
2452,noun
2453,verb
2454,verb
2455,noun
2456,noun
2457,noun
2458,verb
2459,noun
2460,noun
2461,noun
2462,verb
2463,noun
2464,adj
2465,adj
2466,noun
2467,noun
2468,adj
2469,verb
2470,verb
2471,verb
2472,adj
2473,verb
2474,noun
2475,noun
2476,noun
2477,noun
2478,adj
2479,verb
2480,prep
2481,noun
2482,verb
2483,noun
2484,noun
2485,noun
2486,adv
2487,noun
2488,noun
2489,verb
2490,adj
2491,verb
2492,noun
